;temperature;humidity;time
1;15.7;unavailable;2022-05-02 02:15:06.958630
2;15.6;unavailable;2022-05-02 02:16:14.762999
3;15.5;unavailable;2022-05-02 02:29:47.205489
4;20.0;unavailable;2022-05-02 02:33:43.650160
5;15.4;unavailable;2022-05-02 02:34:24.430729
6;19.9;unavailable;2022-05-02 02:35:04.749653
7;15.5;unavailable;2022-05-02 02:35:53.083212
8;20.0;unavailable;2022-05-02 02:36:39.163085
9;15.4;unavailable;2022-05-02 02:37:17.870667
10;15.5;unavailable;2022-05-02 02:38:57.721511
11;19.9;unavailable;2022-05-02 02:39:57.414027
12;15.4;unavailable;2022-05-02 02:41:49.440482
13;15.3;unavailable;2022-05-02 02:47:53.075788
14;20.0;unavailable;2022-05-02 02:48:59.021721
15;15.4;unavailable;2022-05-02 02:58:28.677294
16;19.9;unavailable;2022-05-02 02:59:12.400954
17;19.9;59;2022-05-02 02:59:12.411708
18;15.3;59;2022-05-02 03:00:19.891598
19;15.3;60;2022-05-02 03:04:10.808888
20;15.4;60;2022-05-02 03:04:45.626917
21;15.4;59;2022-05-02 03:08:56.528596
22;15.4;60;2022-05-02 03:15:23.178832
23;15.5;60;2022-05-02 03:16:51.749977
24;15.5;59;2022-05-02 03:16:51.759410
25;15.6;59;2022-05-02 03:21:06.329555
26;15.6;59;2022-05-02 03:25:15.473630
27;15.6;60;2022-05-02 03:28:22.358106
28;19.8;60;2022-05-02 03:31:00.903417
29;19.8;59;2022-05-02 03:31:00.908875
30;19.8;58;2022-05-02 03:31:43.472921
31;19.9;58;2022-05-02 03:34:17.271797
32;15.7;58;2022-05-02 03:36:03.783480
33;15.7;60;2022-05-02 03:36:59.499570
34;19.8;60;2022-05-02 03:38:28.101841
35;19.8;59;2022-05-02 03:40:37.293778
36;19.9;59;2022-05-02 03:41:38.725672
37;19.9;59;2022-05-02 03:41:38.734660
38;15.9;59;2022-05-02 03:42:37.913821
39;15.9;61;2022-05-02 03:42:37.925805
40;19.8;61;2022-05-02 03:43:30.041692
41;16.3;61;2022-05-02 03:43:53.415615
42;16.3;64;2022-05-02 03:43:53.423002
43;16.3;60;2022-05-02 03:44:55.053742
44;16.6;60;2022-05-02 03:45:10.717622
45;16.7;60;2022-05-02 03:47:09.485952
46;16.7;63;2022-05-02 03:47:09.491126
47;17.3;63;2022-05-02 03:51:31.349937
48;17.3;62;2022-05-02 03:51:31.357873
49;17.6;62;2022-05-02 03:57:14.577842
50;17.7;62;2022-05-02 03:59:00.154874
51;17.7;61;2022-05-02 03:59:00.171984
52;17.9;61;2022-05-02 04:03:30.091801
53;18.0;61;2022-05-02 04:06:16.083987
54;18.1;61;2022-05-02 04:09:22.759974
55;18.2;61;2022-05-02 04:20:07.912007
56;18.3;61;2022-05-02 04:23:03.306941
57;18.3;60;2022-05-02 04:23:03.312825
58;18.2;60;2022-05-02 04:24:22.468483
59;18.3;60;2022-05-02 04:28:01.395933
60;18.4;60;2022-05-02 04:30:28.443812
61;19.9;60;2022-05-02 04:36:30.225942
62;19.9;62;2022-05-02 04:36:30.230948
63;18.5;62;2022-05-02 04:39:48.785927
64;18.5;60;2022-05-02 04:42:00.596775
65;18.6;60;2022-05-02 04:43:57.720887
66;19.8;60;2022-05-02 04:45:03.474280
67;19.8;56;2022-05-02 04:45:03.491173
68;19.7;56;2022-05-02 04:46:51.006417
69;19.4;56;2022-05-02 04:51:30.235785
70;19.4;55;2022-05-02 04:51:30.241186
71;19.4;59;2022-05-02 04:51:37.937712
72;19.3;59;2022-05-02 04:55:32.006999
73;19.3;54;2022-05-02 04:55:32.013899
74;19.2;54;2022-05-02 04:56:54.871663
75;19.2;53;2022-05-02 04:56:54.878987
76;19.1;53;2022-05-02 04:58:42.374520
77;19.1;52;2022-05-02 04:58:42.385827
78;18.7;52;2022-05-02 05:02:04.510881
79;19.0;52;2022-05-02 05:03:06.570514
80;19.0;54;2022-05-02 05:03:06.577195
81;18.8;54;2022-05-02 05:08:31.200519
82;19.3;54;2022-05-02 05:10:33.654019
83;19.3;55;2022-05-02 05:10:33.659759
84;18.9;55;2022-05-02 05:14:12.387519
85;19.4;55;2022-05-02 05:15:24.065358
86;19.4;56;2022-05-02 05:15:24.071504
87;19.5;56;2022-05-02 05:16:54.606042
88;19.5;57;2022-05-02 05:16:54.612347
89;19.5;58;2022-05-02 05:17:13.537937
90;19.5;56;2022-05-02 05:19:48.268237
91;19.0;56;2022-05-02 05:21:50.835749
92;19.0;55;2022-05-02 05:22:34.385838
93;19.6;55;2022-05-02 05:25:37.552890
94;19.6;57;2022-05-02 05:25:37.559466
95;19.6;59;2022-05-02 05:26:52.726019
96;19.6;58;2022-05-02 05:27:45.564484
97;19.1;58;2022-05-02 05:29:23.665452
98;19.1;59;2022-05-02 05:29:23.672473
99;19.1;58;2022-05-02 05:30:46.511669
100;19.1;56;2022-05-02 05:32:02.697882
101;19.1;59;2022-05-02 05:33:51.454598
102;19.1;57;2022-05-02 05:42:33.093095
103;19.1;58;2022-05-02 05:43:06.056032
104;19.2;58;2022-05-02 05:45:55.827667
105;19.2;58;2022-05-02 05:53:12.783652
106;19.5;58;2022-05-02 05:55:57.136748
107;19.5;57;2022-05-02 05:55:57.141685
108;19.3;57;2022-05-02 05:56:37.477571
109;19.6;57;2022-05-02 05:57:21.919773
110;19.2;57;2022-05-02 05:58:23.053792
