;Unnamed: 0.1;Unnamed: 0;temperature;humidity;time;Id;local time;room
0;0;409;20.7;72.0;2022-05-02 18:22:45.359981;1;0;middle
1;1;410;20.7;76.0;2022-05-02 18:22:45.386290;1;0;middle
2;2;411;20.6;76.0;2022-05-02 18:23:27.580878;1;0;middle
3;3;412;20.6;57.0;2022-05-02 18:23:27.653971;1;0;middle
4;4;413;20.8;57.0;2022-05-02 18:24:46.191661;1;2;middle
5;5;414;20.8;77.0;2022-05-02 18:24:46.197899;1;2;middle
6;6;415;20.8;58.0;2022-05-02 18:24:50.703761;1;2;middle
7;7;416;20.9;58.0;2022-05-02 18:25:55.941694;1;3;middle
8;8;417;20.9;79.0;2022-05-02 18:25:55.958180;1;3;middle
9;9;418;20.7;79.0;2022-05-02 18:26:17.427860;1;3;middle
10;10;419;21.2;79.0;2022-05-02 18:28:59.015913;1;6;middle
11;11;420;21.2;84.0;2022-05-02 18:28:59.022854;1;6;middle
12;12;859;20.6;57.0;2022-05-03 19:10:14.757827;2;0;middle
13;13;860;20.6;65.0;2022-05-03 19:10:14.765909;2;0;middle
14;14;861;20.6;61.0;2022-05-03 19:12:31.385634;2;2;middle
15;15;862;20.9;61.0;2022-05-03 19:13:53.611871;2;3;middle
16;16;863;20.9;75.0;2022-05-03 19:13:53.616614;2;3;middle
17;17;864;20.8;75.0;2022-05-03 19:14:09.666685;2;3;middle
18;18;865;21.1;75.0;2022-05-03 19:15:39.365079;2;5;middle
19;19;866;21.1;79.0;2022-05-03 19:15:39.374843;2;5;middle
20;20;867;20.9;79.0;2022-05-03 19:15:51.559962;2;5;middle
21;21;868;21.3;79.0;2022-05-03 19:17:06.107575;2;6;middle
22;22;869;21.3;78.0;2022-05-03 19:17:06.137965;2;6;middle
23;23;870;21.5;78.0;2022-05-03 19:18:36.664298;2;8;middle
24;24;871;21.5;81.0;2022-05-03 19:18:36.737900;2;8;middle
25;25;872;21.6;81.0;2022-05-03 19:19:55.890876;2;9;middle
26;26;873;21.1;81.0;2022-05-03 19:22:14.749723;2;11;middle
27;27;874;21.1;62.0;2022-05-03 19:22:14.755716;2;11;middle
28;28;875;21.9;62.0;2022-05-03 19:23:19.706997;2;13;middle
29;29;876;21.9;63.0;2022-05-03 19:24:36.371863;2;14;middle
30;30;877;22.0;63.0;2022-05-03 19:24:38.934550;2;14;middle
31;31;1472;20.7;64.0;2022-05-04 17:52:42.219158;3;0;middle
32;32;1473;21.3;64.0;2022-05-04 17:53:13.855152;3;0;middle
33;33;1474;21.3;73.0;2022-05-04 17:53:13.866843;3;0;middle
34;34;1475;21.5;73.0;2022-05-04 17:56:05.587042;3;3;middle
35;35;1476;21.5;76.0;2022-05-04 17:56:05.592298;3;3;middle
36;36;1477;21.6;76.0;2022-05-04 17:57:24.946763;3;4;middle
37;37;1478;21.6;78.0;2022-05-04 17:57:24.954302;3;4;middle
38;38;1479;21.6;79.0;2022-05-04 17:58:57.422068;3;6;middle
39;39;1480;21.7;79.0;2022-05-04 18:00:26.196777;3;7;middle
40;40;1481;21.7;75.0;2022-05-04 18:00:26.207349;3;7;middle
41;41;1482;21.7;70.0;2022-05-04 18:02:15.671306;3;9;middle
42;42;2071;20.2;57.0;2022-05-05 19:20:30.555562;4;0;middle
43;43;2072;20.2;67.0;2022-05-05 19:20:30.560965;4;0;middle
44;44;2073;20.5;67.0;2022-05-05 19:22:57.734734;4;2;middle
45;45;2074;20.5;79.0;2022-05-05 19:22:57.790758;4;2;middle
46;46;2075;19.9;79.0;2022-05-05 19:23:00.966793;4;2;middle
47;47;2076;19.9;58.0;2022-05-05 19:23:00.972628;4;2;middle
48;48;2077;20.7;58.0;2022-05-05 19:24:11.336748;4;3;middle
49;49;2078;20.7;78.0;2022-05-05 19:24:11.341475;4;3;middle
50;50;2079;20.0;78.0;2022-05-05 19:24:37.122522;4;4;middle
51;51;2080;20.9;78.0;2022-05-05 19:25:49.427792;4;5;middle
52;52;2081;20.9;80.0;2022-05-05 19:25:49.444413;4;5;middle
53;53;2082;21.0;80.0;2022-05-05 19:27:03.042112;4;6;middle
54;54;2471;20.4;55.0;2022-05-06 14:43:00.433797;5;0;middle
55;55;2472;21.0;55.0;2022-05-06 14:43:00.764655;5;0;middle
56;56;2473;21.0;69.0;2022-05-06 14:43:00.774768;5;0;middle
57;57;2474;20.5;69.0;2022-05-06 14:46:12.949216;5;3;middle
58;58;2475;21.3;69.0;2022-05-06 14:47:51.166914;5;4;middle
59;59;2476;21.3;71.0;2022-05-06 14:47:51.172748;5;4;middle
60;60;2477;21.4;71.0;2022-05-06 14:50:50.562188;5;7;middle
61;61;2478;21.4;69.0;2022-05-06 14:50:50.567043;5;7;middle
62;62;2479;21.8;69.0;2022-05-06 14:52:21.091960;5;9;middle
63;63;2480;21.8;64.0;2022-05-06 14:52:21.103103;5;9;middle
64;64;2562;20.8;57.0;2022-05-06 19:46:04.893928;6;0;middle
65;65;2563;20.8;59.0;2022-05-06 19:46:04.901160;6;0;middle
66;66;2564;20.8;65.0;2022-05-06 19:48:32.052742;6;2;middle
67;67;2565;21.0;65.0;2022-05-06 19:49:49.364276;6;3;middle
68;68;2566;21.0;73.0;2022-05-06 19:49:49.368900;6;3;middle
69;69;2567;21.0;71.0;2022-05-06 19:51:40.711676;6;5;middle
70;70;2568;21.1;71.0;2022-05-06 19:53:01.680583;6;6;middle
71;71;2569;21.1;75.0;2022-05-06 19:53:01.693913;6;6;middle
72;72;2570;20.7;75.0;2022-05-06 19:55:40.909111;6;9;middle
73;73;2571;21.3;75.0;2022-05-06 19:55:58.824877;6;9;middle
74;74;2572;21.3;80.0;2022-05-06 19:55:58.829902;6;9;middle
75;75;2573;20.8;80.0;2022-05-06 19:57:11.429119;6;11;middle
76;76;6826;21.9;55.0;2022-05-08 17:27:11.717651;7;0;middle
